iglu_output_name,standardized_name,unit_category,category,short_name,description,iglu_function
ADRR,cgm_adrr,unitless,clinical,ADRR,Average daily risk range (ADRR) is a variability measure that was designed to be sensitive to both hyperglycemia and hypoglycemia. The ADRR is composed of the HBGI and LGBI.,adrr
COGI,cgm_cogi,unitless,clinical,COGI,"Continuous Glucose Monitoring Index (COGI). COGI uses three measures of the CGM - time in range, time below range and glucose variability (GV) and averages them using a weighted mean, usually with weights of 50%, 35% and 15% accordingly.",cogi
IGC,cgm_igc,unitless,clinical,IGC,"Index of Glycemic Control (IGC), a sum of the hypoglycemia and hyperglycemia indexes. This index was shown to be highly correlated with percentage of time in target range.",igc
J_index,cgm_j_index,unitless,advanced,J-index,This index was designed to stress the importance of the two major glycaemia components: the mean level and the variability of glycaemia.,j_index
M_value,cgm_m_value,unitless,advanced,M value,The M-value is an index aimed to describe the glycemic control of an individual.,m_value
auc_hourly_auc,cgm_auc,auc,advanced,AUC,"Hourly average AUC. This measure integrates, to some extent, the severity of a high or low glucose along with the duration of the abnormality. It is calculated for each hour in the CGM, then averaged for each day over a 24-hour period, then once again averaged between all days to receive a single AUC measure.",auc
hyper_index,cgm_hyper_index,unitless,advanced,Hyper index,"This is a weighted average of hyperglycemic values, with larger penalties for more extreme values.",hyper_index
hypo_index,cgm_hypo_index,unitless,advanced,Hypo index,"This is a weighted average of hypoglycemic values, with progressively larger penalties for more extreme values",hypo_index
in_range_percent_in_range_70_180,cgm_in_range_70_180,percentage,time_in_range,% in range 70-180,Percent of glucose measures that were in a specified range of glucose values (70-180),in_range_percent
in_range_percent_in_range_63_140,cgm_in_range_63_140,percentage,time_in_range,% in range 63-140,Percent of glucose measures that were in a specified range of glucose values (63-140),in_range_percent
GRI,cgm_gri,unitless,clinical,GRI,"Glycemic Risk Indicator (GRI), combines hypoglycemia and hyperglycemia risk",gri
PGS,cgm_pgs,unitless,clinical,PGS,"Patient Glycemic Status (PGS), overall glycemic control score",pgs
range,cgm_range,glucose,summary,Range,Difference between maximum and minimum glucose values,range_glu
mean,cgm_mean,glucose,summary,Mean,Mean of all glucose values,mean_glu
median,cgm_median,glucose,summary,Median,Median of all glucose values,median_glu
episode_calculation,cgm_episodes,unitless,advanced,Episodes,Hypoglycemic and hyperglycemic episode calculations (nested structure),episode_calculation
active_percent,cgm_active_percent,percentage,summary,Active %,Percentage of valid data points over total expected points,active_percent
active_percent_ndays,cgm_active_ndays,unitless,summary,Active days,Number of days with CGM data,active_percent
active_percent_start_date,cgm_active_start_date,unitless,summary,Start date,First date with CGM data (ISO 8601 timestamp),active_percent
active_percent_end_date,cgm_active_end_date,unitless,summary,End date,Last date with CGM data (ISO 8601 timestamp),active_percent
